2009,07,28,FITB,Sell,100
2008,11,20,FTR,Buy,100
2008,11,28,FTR,Sell,100
2009,03,02,FTR,Buy,100
2009,03,09,FTR,Sell,100
2009,04,20,FTR,Buy,100
2009,04,27,FTR,Sell,100
2009,06,10,FTR,Buy,100
2009,06,17,FTR,Sell,100
2009,06,15,FTR,Buy,100
2009,06,22,FTR,Sell,100
2009,07,06,FTR,Buy,100
2009,07,13,FTR,Sell,100
2009,08,11,FTR,Buy,100
2009,08,18,FTR,Sell,100
2009,08,14,FTR,Buy,100
2009,08,21,FTR,Sell,100
2009,09,08,FTR,Buy,100
2009,09,15,FTR,Sell,100
2008,11,19,GCI,Buy,100
2008,11,26,GCI,Sell,100
2009,01,22,GCI,Buy,100
2009,01,29,GCI,Sell,100
2009,01,29,GCI,Buy,100
2009,02,05,GCI,Sell,100
2009,03,04,GE,Buy,100
2009,03,11,GE,Sell,100
2008,09,29,GNW,Buy,100
2008,10,06,GNW,Sell,100
2008,10,06,GNW,Buy,100
2008,10,13,GNW,Sell,100
2009,06,30,GNW,Buy,100
2009,07,08,GNW,Sell,100
2009,07,28,GNW,Buy,100
2009,08,04,GNW,Sell,100
2009,07,31,GNW,Buy,100
2009,08,07,GNW,Sell,100
2008,11,10,GT,Buy,100
2008,11,17,GT,Sell,100
2009,01,12,GT,Buy,100
2009,01,20,GT,Sell,100
2009,02,10,GT,Buy,100
2009,02,18,GT,Sell,100
2009,03,27,GT,Buy,100
2009,04,03,GT,Sell,100
2008,06,11,HBAN,Buy,100
2008,06,18,HBAN,Sell,100
2008,07,21,HBAN,Buy,100
2008,07,28,HBAN,Sell,100
2008,07,24,HBAN,Buy,100
2008,07,31,HBAN,Sell,100
2008,07,28,HBAN,Buy,100
2008,08,04,HBAN,Sell,100
2008,08,21,HBAN,Buy,100
2008,08,28,HBAN,Sell,100
2008,10,09,HBAN,Buy,100
2008,10,16,HBAN,Sell,100
2008,10,13,HBAN,Buy,100
2008,10,20,HBAN,Sell,100
2008,11,19,HBAN,Buy,100
2008,11,26,HBAN,Sell,100
2008,12,01,HBAN,Buy,100
2008,12,08,HBAN,Sell,100
2008,12,15,HBAN,Buy,100
2008,12,22,HBAN,Sell,100
2008,12,22,HBAN,Buy,100
2008,12,30,HBAN,Sell,100
2009,01,09,HBAN,Buy,100
2009,01,16,HBAN,Sell,100
2008,11,19,HIG,Buy,100
2008,11,26,HIG,Sell,100
2008,12,01,HIG,Buy,100
2008,12,08,HIG,Sell,100
2009,02,20,HIG,Buy,100
2009,02,27,HIG,Sell,100
2009,02,27,HIG,Buy,100
2009,03,06,HIG,Sell,100
2009,03,16,HIG,Buy,100
2009,03,23,HIG,Sell,100
2008,11,17,HST,Buy,100
2008,11,24,HST,Sell,100
2008,12,01,HST,Buy,100
2008,12,08,HST,Sell,100
2008,12,04,HST,Buy,100
2008,12,11,HST,Sell,100
2008,12,11,HST,Buy,100
2008,12,18,HST,Sell,100
